"Enclosure_Name";"Enclosure_IP";"Bay";"ProductName";"SerialNumber";"ServerName";"AssetTag";"CPU1";"CPU2";"Memory";"NIC1_MAC";"NIC2_MAC";"ManagementType";"ManagementIP";"ProcSingleCoreSpeed";"ProcCores";"ProcCoresLogical";"ProcCombinedCoresSpeed";"Eth0_IP";"Eth1_IP"
"Rack2Top";"10.100.202.122";"5";"ProLiant BL460c Gen9";"CZ3519XHFD";"171034";"171034";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"8C:DC:D4:1D:5A:60";"8C:DC:D4:1D:5A:68";"iLO4";"10.100.202.105";;;;;;
"Rack2Top";"10.100.202.122";"6";"ProLiant BL460c Gen9";"CZ253907YF";"170243";"170243";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"EC:B1:D7:9E:8E:E0";"EC:B1:D7:9E:8E:E8";"iLO4";"10.100.202.106";;;;;;
"Rack2Top";"10.100.202.122";"7";"ProLiant BL460c Gen9";"CZ26460535";"177615";"177615";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"524288 MB";"9C:DC:71:67:C5:90";"9C:DC:71:67:C5:98";"iLO4";"10.100.202.107";;;;;;
"Rack2Top";"10.100.202.122";"8";"ProLiant BL460c Gen9";"CZ25430J91";"178788";"178788";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"EC:B1:D7:A0:B4:D0";"EC:B1:D7:A0:B4:D8";"iLO4";"10.100.202.108";;;;;;
"Rack2Top";"10.100.202.122";"9";"ProLiant BL460c Gen9";"CZ3511SADY";"177029";"177029";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"6C:C2:17:3A:C0:C0";"6C:C2:17:3A:C0:C8";"iLO4";"10.100.202.109";;;;;;
"Rack2Top";"10.100.202.122";"10";"ProLiant BL460c Gen9";"CZ2543073Y";"174828";"174828";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"EC:B1:D7:A1:87:40";"EC:B1:D7:A1:87:48";"iLO4";"10.100.202.110";;;;;;
"Rack2Top";"10.100.202.122";"11";"ProLiant BL460c Gen8";"CZJ32604H1";"171932";"171932";"Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz (6 cores)";"Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz (6 cores)";"256";"74:46:A0:F5:AA:D0";"74:46:A0:F5:AA:D4";"iLO4";"10.100.202.111";;;;"0";;
"Rack2Top";"10.100.202.122";"12";"ProLiant BL460c Gen8";"CZJ2260164";"173883";"173883";"Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz (8 cores)";"Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz (8 cores)";"256";"80:C1:6E:7F:75:60";"80:C1:6E:7F:75:64";"iLO4";"10.100.202.112";"2.6";"16";"32";"41.6";;
"Rack2Top";"10.100.202.122";"13";"ProLiant BL460c Gen8";"CZJ32604H3";"179875";"179875";"Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz (6 cores)";"Intel(R) Xeon(R) CPU E5-2667 0 @ 2.90GHz (6 cores)";"256";"74:46:A0:F5:5E:20";"74:46:A0:F5:5E:24";"iLO4";"10.100.202.113";;;;"0";;
"Rack2Top";"10.100.202.122";"14";"ProLiant BL460c G7";"";"170104";"";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"128";"E4:11:5B:D7:91:A8";"E4:11:5B:D7:91:AC";"iLO3";"10.100.202.114";"3.07";"12";"24";"36.84";"10.100.102.50";
"Rack2Top";"10.100.202.122";"15";"ProLiant BL460c G7";"CZJ1500HKS";"175530";"175530";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"192";"E4:11:5B:D7:61:80";"E4:11:5B:D7:61:84";"iLO3";"10.100.202.115";"3.07";"12";"24";"36.84";"10.100.101.76";
"Rack2Top";"10.100.202.122";"16";"ProLiant BL460c G7";"";"170468";"";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"Intel(R) Xeon(R) CPU X5675 @ 3.07GHz (6 cores)";"32";"E4:11:5B:D7:81:48";"E4:11:5B:D7:81:4C";"iLO3";"10.100.202.116";"3.07";"12";"24";"36.84";"10.100.101.66";
"Rack2Bund";"10.100.202.222";"1";"ProLiant BL490c G7";"CZ21400H9K";"PR";"175500";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"192";"2C:76:8A:AC:49:16";"2C:76:8A:AC:49:1A";"iLO3";"10.100.202.201";"2.93";"12";"24";"35.16";"10.100.101.25";"10.100.201.25"
"Rack2Bund";"10.100.202.222";"2";"D2200sb Storage Blade";"TWT421004T";"PR";"175500";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"192";"2C:76:8A:AC:49:16";"2C:76:8A:AC:49:1A";"iLO3";"10.100.202.201";"2.93";"12";"24";"35.16";"10.100.101.25";"10.100.201.25"
"Rack2Bund";"10.100.202.222";"3";"ProLiant BL460c G7";"CZJ1441DML";"173689";"173689";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"24";"44:1E:A1:4F:6F:60";"44:1E:A1:4F:6F:64";"iLO3";"10.100.202.203";"2.93";"12";"24";"35.16";"10.100.101.94";
"Rack2Bund";"10.100.202.222";"4";"ProLiant BL460c G7";"CZJ1370L";"168486";"168486";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"32";"9C:8E:99:28:80:80";"9C:8E:99:28:80:84";"iLO3";"10.100.202.204";"2.93";"12";"24";"35.16";"10.100.103.65";
"Rack2Bund";"10.100.202.222";"5";"ProLiant BL460c G7";"CZ314407NC";"164016";"164016";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"24";"3C:4A:92:ED:64:A0";"3C:4A:92:ED:64:A4";"iLO3";"10.100.202.205";"2.93";"12";"24";"35.16";"10.100.101.78";
"Rack2Bund";"10.100.202.222";"6";"ProLiant BL460c G7";"CZ314407N3";"175254";"175254";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"192";"D4:85:64:58:31:70";"D4:85:64:58:31:74";"iLO3";"10.100.202.206";"2.93";"12";"24";"35.16";"10.100.102.71";
"Rack2Bund";"10.100.202.222";"7";"ProLiant BL460c G7";"CZ314407N2";"175198";"175198";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"32";"D4:85:64:58:81:78";"D4:85:64:58:81:7C";"iLO3";"10.100.202.207";"2.93";"12";"24";"35.16";"10.100.102.79";
"Rack2Bund";"10.100.202.222";"8";"ProLiant BL460c G7";"CZJ0481N9V";"173088";"173088";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"48";"68:B5:99:BA:FB:60";"68:B5:99:BA:FB:64";"iLO3";"10.100.202.208";"2.93";"12";"24";"35.16";"10.100.101.77";
"Rack2Bund";"10.100.202.222";"9";"ProLiant BL460c G7";"CZJ0440GLP";"161864";"161864";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"48";"D4:85:64:57:0B:10";"D4:85:64:57:0B:14";"iLO3";"10.100.202.209";"2.93";"12";"24";"35.16";"10.100.102.81";
"Rack2Bund";"10.100.202.222";"10";"ProLiant BL460c G7";"CZJ0440GLT";"167748";"167748";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"48";"D4:85:64:57:A8:70";"D4:85:64:57:A8:74";"iLO3";"10.100.202.210";"2.93";"12";"24";"35.16";"10.100.102.82";
"Rack2Bund";"10.100.202.222";"11";"ProLiant BL460c G7";"CZJ0440DQG";"173218";"173218";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"48";"68:B5:99:B3:A1:F8";"68:B5:99:B3:A1:FC";"iLO3";"10.100.202.211";"2.93";"12";"24";"35.16";"10.100.101.79";
"Rack2Bund";"10.100.202.222";"12";"ProLiant BL460c G7";"CZ314610FA";"163268";"163268";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"96";"D4:85:64:58:71:48";"D4:85:64:58:71:4C";"iLO3";"10.100.202.212";"2.93";"12";"24";"35.16";"10.100.101.58";
"Rack2Bund";"10.100.202.222";"13";"ProLiant BL460c G7";"CZJ1441DMM";"179881";"179881";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"24";"44:1E:A1:50:50:38";"44:1E:A1:50:50:3C";"iLO3";"10.100.202.213";"2.93";"12";"24";"35.16";"10.100.102.89";
"Rack2Bund";"10.100.202.222";"14";"ProLiant BL460c G7";"CZ3132PNLM";"166120";"166120";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"Intel(R) Xeon(R) CPU X5670 @ 2.93GHz (6 cores)";"32";"D4:85:64:56:38:60";"D4:85:64:56:38:64";"iLO3";"10.100.202.214";"2.93";"12";"24";"35.16";"10.100.102.68";
"Rack2Bund";"10.100.202.222";"15";"ProLiant BL460c G6";"CZJ94503TG";"166279";"";"Intel(R) Xeon(R) CPU X5550 @ 2.67GHz (4 cores)";"Intel(R) Xeon(R) CPU X5550 @ 2.67GHz (4 cores)";"96";"18:A9:05:71:EC:40";"18:A9:05:71:EC:44";"iLO2";"10.100.202.215";"2.67";"8";"16";"21.36";;
"Rack2Bund";"10.100.202.222";"16";"ProLiant BL460c G6";"CZJ0210HMP";"165798";"";"Intel(R) Xeon(R) CPU X5550 @ 2.67GHz (4 cores)";"Intel(R) Xeon(R) CPU X5550 @ 2.67GHz (4 cores)";"24";"78:E7:D1:64:42:58";"78:E7:D1:64:42:5C";"iLO2";"10.100.202.216";"2.67";"8";"16";"21.36";;
"Rack3Top";"10.100.203.122";"1";"ProLiant BL460c G7";"CZJ1240J06";"165556";"165556";"Intel(R) Xeon(R) CPU E5640 @ 2.67GHz (4 cores)";"Intel(R) Xeon(R) CPU E5640 @ 2.67GHz (4 cores)";"96";"78:E3:B5:1C:EF:D0";"78:E3:B5:1C:EF:D4";"iLO3";"10.100.203.101";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"2";"D2200sb Storage Blade";"TWT13400CN";"165556";"165556";"Intel(R) Xeon(R) CPU E5640 @ 2.67GHz (4 cores)";"Intel(R) Xeon(R) CPU E5640 @ 2.67GHz (4 cores)";"96";"78:E3:B5:1C:EF:D0";"78:E3:B5:1C:EF:D4";"iLO3";"10.100.203.101";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"3";"ProLiant BL460c Gen9";"CZ3519XHFF";"176080";;"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"262144 MB";"8C:DC:D4:1D:55:10";"8C:DC:D4:1D:55:18";"iLO4";"10.100.203.103";"2.67";"8";"16";"21.36";"10.100.103.59";
"Rack3Top";"10.100.203.122";"4";"ProLiant BL460c Gen9";"CZ3511SADW";"176091";;"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"6C:C2:17:3C:3F:00";"6C:C2:17:3C:3F:08";"iLO4";"10.100.203.104";"2.67";"8";"16";"21.36";"10.100.103.59";
